# Frequency (Hz), Real Zperp (Ohm/m/m), Imaginary Zperp (Ohm/m/m)
4.042095839796305654e+02,9.643234662141903755e+03,-1.848526467225743909e+04
4.155455334718875520e+02,9.778067893226258093e+03,-1.825314406735499142e+04
4.271993966306776542e+02,9.909041215866724087e+03,-1.801463274610867302e+04
4.391800892596086214e+02,1.003579375796651584e+04,-1.776984294766799940e+04
4.514967772036101792e+02,1.015796461366991753e+04,-1.751891259208479823e+04
4.641588833612777307e+02,1.027519494247545845e+04,-1.726200584220594828e+04
4.771760948938745628e+02,1.038713017758130991e+04,-1.699931347122495572e+04
4.905583706365045487e+02,1.049342232375575259e+04,-1.673105301778709327e+04
5.043159487171358819e+02,1.059373232204860506e+04,-1.645746871265294249e+04
5.184593543892913203e+02,1.068773245593046340e+04,-1.617883116359500491e+04
5.329994080844087421e+02,1.077510877089747737e+04,-1.589543678827891927e+04
5.479472336900287246e+02,1.085556347766635372e+04,-1.560760698857520401e+04
5.633142670601357622e+02,1.092881730738711849e+04,-1.531568706359322459e+04
5.791122647641758476e+02,1.099461178657650089e+04,-1.502004486319432544e+04
5.953533130814370224e+02,1.105271139899993432e+04,-1.472106918817030601e+04
6.120498372476696431e+02,1.110290560229170842e+04,-1.441916794794251837e+04
6.292146109610343956e+02,1.114501066823501787e+04,-1.411476609133607053e+04
6.468607661546327563e+02,1.117887131746788509e+04,-1.380830333034590512e+04
6.650018030431118632e+02,1.120436212216704917e+04,-1.350023168118195827e+04
6.836516004510237963e+02,1.122138865340523080e+04,-1.319101285060828013e+04
7.028244264308345919e+02,1.122988835392951114e+04,-1.288111549891148388e+04
7.225349491787213765e+02,1.122983112146251915e+04,-1.257101241352146826e+04
7.427982482564918882e+02,1.122121959253352543e+04,-1.226117762926639625e+04
7.636298261282241810e+02,1.120408912197142126e+04,-1.195208353243064994e+04
7.850456200204508832e+02,1.117850745832144094e+04,-1.164419798607665507e+04
8.070620141149498750e+02,1.114457412094481515e+04,-1.133798151376410897e+04
8.296958520834906494e+02,1.110241948932195737e+04,-1.103388457733018367e+04
8.529644499741025356e+02,1.105220362021334586e+04,-1.073234498248132513e+04
8.768856094587426924e+02,1.099411481242760055e+04,-1.043378544309902281e+04
9.014776314524917780e+02,1.092836794299728717e+04,-1.013861133182160484e+04
9.267593301146882823e+02,1.085520260162578961e+04,-9.847208640543987713e+03
9.527500472427290106e+02,1.077488105296275535e+04,-9.559942170251712014e+03
9.794696670695395824e+02,1.068768605794465293e+04,-9.277153965052986678e+03
1.006938631476027126e+03,1.059391858654999305e+04,-8.999162000629728936e+03
1.035177955630176257e+03,1.049389545471286510e+04,-8.726259132726538155e+03
1.064209244064724544e+03,1.038794691764310483e+04,-8.458712306720071865e+03
1.094054707205742488e+03,1.027641425090696612e+04,-8.196762025120069666e+03
1.124737178364752026e+03,1.015964734893129571e+04,-7.940622065823987214e+03
1.156280131207375462e+03,1.003800236852796115e+04,-7.690479440499035263e+03
1.188707697711903393e+03,9.911839442577151203e+03,-7.446494579314877228e+03
1.222044686631488730e+03,9.781520486057061134e+03,-7.208801725754118706e+03
1.256316602474120145e+03,9.647407113749284690e+03,-6.977509523146244646e+03
1.291549665014884113e+03,9.509858685635370421e+03,-6.752701773076635618e+03
1.327770829355428987e+03,9.369230492878659788e+03,-6.534438344810286253e+03
1.365007806546013853e+03,9.225872094161204586e+03,-6.322756214404781531e+03
1.403289084785873229e+03,9.080125809036835562e+03,-6.117670612038036779e+03
1.442643951218157326e+03,8.932325372174980657e+03,-5.919176256545772048e+03
1.483102514336104377e+03,8.782794749660322850e+03,-5.727248656725521869e+03
1.524695727017573063e+03,8.631847116166805790e+03,-5.541845460054286377e+03
1.567455410205594944e+03,8.479783989715228017e+03,-5.362907830651322911e+03
1.611414277253019918e+03,8.326894518856166542e+03,-5.190361839746704391e+03
1.656605958949913429e+03,8.173454915634977624e+03,-5.024119853430191142e+03
1.703065029252844397e+03,8.019728026449904974e+03,-4.864081904135699006e+03
1.750827031735725086e+03,7.865963031926294207e+03,-4.710137033917573717e+03
1.799928506782476461e+03,7.712395266289708161e+03,-4.562164599287523743e+03
1.850407019542302123e+03,7.559246146186763326e+03,-4.420035528940305085e+03
1.902301188668943951e+03,7.406723198726447663e+03,-4.283613527340476139e+03
1.955650715865948996e+03,7.255020178449751256e+03,-4.152756218519421964e+03
2.010496416260499018e+03,7.104317263028525304e+03,-4.027316225889251655e+03
2.066880249629081845e+03,6.954781317784806561e+03,-3.907142185076572787e+03
2.124845352498882676e+03,6.806566219483820532e+03,-3.792079687944551551e+03
2.184436071149425970e+03,6.659813230303992896e+03,-3.681972156979561987e+03
2.245697995539774183e+03,6.514651413451204462e+03,-3.576661650106176239e+03
2.308677994187169588e+03,6.371198082432375486e+03,-3.475989596742143476e+03
2.373424250023866080e+03,6.229559276653897541e+03,-3.379797466595172864e+03
2.439986297259550156e+03,6.089830256603147063e+03,-3.287927373187932972e+03
2.508415059277538603e+03,5.952096012550548039e+03,-3.200222614586756663e+03
2.578762887593800770e+03,5.816431781291768857e+03,-3.116528154113354958e+03
2.651083601908539094e+03,5.682903566091921675e+03,-3.036691044092145148e+03
2.725432531281027877e+03,5.551568655560211482e+03,-2.960560795867549587e+03
2.801866556459195181e+03,5.422476137743972686e+03,-2.887989699437263880e+03
2.880444153396297679e+03,5.295667406266340549e+03,-2.818833096096898771e+03
2.961225437988034628e+03,5.171176655777933775e+03,-2.752949607513127376e+03
3.044272212064302948e+03,5.049031364504546218e+03,-2.690201324593067511e+03
3.129648010670750409e+03,4.929252762015763437e+03,-2.630453959457906421e+03
3.217418150676371624e+03,4.811856280741244518e+03,-2.573576963709211668e+03
3.307649780744242435e+03,4.696851990123890573e+03,-2.519443616100858435e+03
3.400411932703706043e+03,4.584245012516995303e+03,-2.467931082527846684e+03
3.495775574363275155e+03,4.474035920295070355e+03,-2.418920451158870492e+03
3.593813663804625776e+03,4.366221113789859373e+03,-2.372296745329013447e+03
3.694601205199302512e+03,4.260793179918089663e+03,-2.327948916678704336e+03
3.798215306190736101e+03,4.157741231529387733e+03,-2.285769820848954623e+03
3.904735236885559971e+03,4.057051227626328000e+03,-2.245656177869876046e+03
4.014242490499321775e+03,3.958706274758711970e+03,-2.207508519237419023e+03
4.126820845702951374e+03,3.862686909989229662e+03,-2.171231123498256693e+03
4.242556430717777403e+03,3.768971365898351905e+03,-2.136731942017745496e+03
4.361537789208005961e+03,3.677535818171770643e+03,-2.103922516459709186e+03
4.483855948021186123e+03,3.588354616370986150e+03,-2.072717889370317607e+03
4.609604486828433437e+03,3.501400498510969101e+03,-2.043036509121455765e+03
4.738879609717650965e+03,3.416644790102715433e+03,-2.014800130353127543e+03
4.871780218794630855e+03,3.334057588330127146e+03,-1.987933710930672532e+03
5.008407989848212310e+03,3.253607932056409936e+03,-1.962365306342900794e+03
5.148867450137492597e+03,3.175263958314327283e+03,-1.938025962340972455e+03
5.293266058360561146e+03,3.098993045981732394e+03,-1.914849606559400172e+03
5.441714286865892973e+03,3.024761947288879128e+03,-1.892772939751847844e+03
5.594325706169377554e+03,2.952536907811176661e+03,-1.871735327210065179e+03
5.751217071841613688e+03,2.882283775579362100e+03,-1.851678690868086278e+03
5.912508413831875259e+03,2.813968099914509366e+03,-1.832547402522808625e+03
6.078323128297230141e+03,2.747555220575676231e+03,-1.814288178555803370e+03
6.248788072006894254e+03,2.683010347779885706e+03,-1.796849976483445971e+03
6.424033659394191091e+03,2.620298633639648870e+03,-1.780183893628306123e+03
6.604193962330305112e+03,2.559385235518854188e+03,-1.764243068152853311e+03
6.789406812696105590e+03,2.500235371804105853e+03,-1.748982582675150979e+03
6.979813907830660355e+03,2.442814370552345736e+03,-1.734359370652647385e+03
7.175560918936928829e+03,2.387087711447253696e+03,-1.720332125688614497e+03
7.376797602527730305e+03,2.333021061483766516e+03,-1.706861213904094257e+03
7.583677914997190783e+03,2.280580304775347031e+03,-1.693908589496642435e+03
7.796360130405229029e+03,2.229731566850488434e+03,-1.681437713588821680e+03
8.015006961565404708e+03,2.180441233794424079e+03,-1.669413476462447079e+03
8.239785684528520505e+03,2.132675966571979643e+03,-1.657802123264860256e+03
8.470868266557401512e+03,2.086402710849313280e+03,-1.646571183263191870e+03
8.708431497690724427e+03,2.041588702621497077e+03,-1.635689402721107172e+03
8.952657125996391187e+03,1.998201469939908520e+03,-1.625126681467297203e+03
9.203731996618220364e+03,1.956208831024217261e+03,-1.614854013222935464e+03
9.461848194722002518e+03,1.915578889040030390e+03,-1.604843429757990634e+03
9.727203192450537244e+03,1.876280023808167471e+03,-1.595067948936333778e+03
1.000000000000000000e+04,1.838280880728055536e+03,-1.585501526726447310e+03
1.028044732093309722e+04,1.801550357172585336e+03,-1.576119013233146461e+03
1.056875971184804985e+04,1.766057586640298950e+03,-1.566896112826542549e+03
1.086515774652537220e+04,1.731771920938514540e+03,-1.557809348431784656e+03
1.116986818467822559e+04,1.698662910679211791e+03,-1.548836030037771707e+03
1.148312414543511113e+04,1.666700284395481958e+03,-1.539954227498051068e+03
1.180516528568805552e+04,1.635853926570028989e+03,-1.531142747664694298e+03
1.213623798344241732e+04,1.606093854911867311e+03,-1.522381115916461113e+03
1.247659552630868529e+04,1.577390197207467054e+03,-1.513649562109871113e+03
1.282649830528059829e+04,1.549713168102465261e+03,-1.504929010980409885e+03
1.318621401394748500e+04,1.523033046185141075e+03,-1.496201077001789827e+03
1.355601785329368977e+04,1.497320151758407064e+03,-1.487448063686861587e+03
1.393619274224143555e+04,1.472544825704854475e+03,-1.478652967290929382e+03
1.432702953409829388e+04,1.448677409869386565e+03,-1.469799484848397924e+03
1.472882723907501713e+04,1.425688229393642132e+03,-1.460872026435712314e+03
1.514189325304351951e+04,1.403547577455900182e+03,-1.451855731519302481e+03
1.556654359271062094e+04,1.382225702870701070e+03,-1.442736489194267961e+03
1.600310313738701734e+04,1.361692801015580471e+03,-1.433500962078143857e+03
1.645190587753660657e+04,1.341919008545125052e+03,-1.424136613563597393e+03
1.691329517029647104e+04,1.322874402348277044e+03,-1.414631738078362105e+03
1.738762400216250535e+04,1.304529003190560616e+03,-1.404975493940438355e+03
1.787525525904235474e+04,1.286852784454103585e+03,-1.395157938326648491e+03
1.837656200388172510e+04,1.269815686364191833e+03,-1.385170063817315167e+03
1.889192776207664429e+04,1.253387636034507977e+03,-1.375003835901158027e+03
1.942174681489024442e+04,1.237538573621553496e+03,-1.364652230775014914e+03
1.996642450109793208e+04,1.222238484802443736e+03,-1.354109272703264651e+03
2.052637752709252163e+04,1.207457439713533404e+03,-1.343370070148588184e+03
2.110203428568596428e+04,1.193165638403182129e+03,-1.332430849846456795e+03
2.169383518385182106e+04,1.179333462740338064e+03,-1.321288987947205442e+03
2.230223297965936217e+04,1.165931534621323408e+03,-1.309943037338549630e+03
2.292769312865648681e+04,1.152930780186223501e+03,-1.298392750239164116e+03
2.357069413996727963e+04,1.140302499640399446e+03,-1.286639095173361966e+03
2.423172794237600829e+04,1.128018442136903104e+03,-1.274684267450786592e+03
2.491130026067791187e+04,1.116050885051762634e+03,-1.262531692331353042e+03
2.560993100258456616e+04,1.104372716850844881e+03,-1.250186020116855616e+03
2.632815465648020108e+04,1.092957522622028137e+03,-1.237653112498901237e+03
2.706652070033241398e+04,1.081779671234946136e+03,-1.224940019605619227e+03
2.782559402207125822e+04,1.070814402991336692e+03,-1.212054947321626514e+03
2.860595535175744953e+04,1.060037916535718523e+03,-1.199007214594147399e+03
2.940820170587060784e+04,1.049427453749295864e+03,-1.185807200621509310e+03
3.023294684405776206e+04,1.038961381296116542e+03,-1.172466281980050326e+03
