# Distance ahead of source z (m), Driving W1perp (Ohm/m/s)
-6.818162294944479527e+02,-2.543633651392836273e+08
-6.510693555481454950e+02,-2.606495369608503878e+08
-6.217090286163820565e+02,-2.671022977805462480e+08
-5.936727216069126598e+02,-2.736937846684757471e+08
-5.669007271207433405e+02,-2.804321648345887065e+08
-5.413360302965376150e+02,-2.873487164449356198e+08
-5.169241873891593286e+02,-2.944141526536242366e+08
-4.936132098237916921e+02,-3.016370008324505091e+08
-4.713534534786907102e+02,-3.090506077612075806e+08
-4.500975129608041811e+02,-3.166238174470820427e+08
-4.298001206490789627e+02,-3.243657117668907046e+08
-4.104180502904709442e+02,-3.323119813047517538e+08
-3.919100249433402041e+02,-3.404292663231155276e+08
-3.742366290721976725e+02,-3.487272467743703127e+08
-3.573602246065788108e+02,-3.572442708000548482e+08
-3.412448707852889243e+02,-3.659446386665952206e+08
-3.258562476153223315e+02,-3.748384736347484589e+08
-3.111615827824356870e+02,-3.839669574951143265e+08
-2.971295818577333989e+02,-3.932921554774036407e+08
-2.837303616516211378e+02,-4.028244919934960008e+08
-2.709353865732048803e+02,-4.126082197674106956e+08
-2.587174078595918445e+02,-4.226029251441461444e+08
-2.470504055456825370e+02,-4.328194884664844871e+08
-2.359095330508633879e+02,-4.433053260676270127e+08
-2.252710642645978112e+02,-4.540175188157426119e+08
-2.151123430182167340e+02,-4.649672303220174313e+08
-2.054117348353064187e+02,-4.762053040740448236e+08
-1.961485808579429317e+02,-4.876863508191677928e+08
-1.873031538506434686e+02,-4.994218113956098557e+08
-1.788566161883461803e+02,-5.114658976136942506e+08
-1.707909797389426956e+02,-5.237708479957525134e+08
-1.630890675549330808e+02,-5.363483943582410812e+08
-1.557344772926135192e+02,-5.492561625364670753e+08
-1.487115462808953623e+02,-5.624439964207834005e+08
-1.420053181653681804e+02,-5.759239460345550776e+08
-1.356015110565631971e+02,-5.897570766735080481e+08
-1.294864871145904885e+02,-6.038911320020027161e+08
-1.236472235053714996e+02,-6.183381007511796951e+08
-1.180712846666189080e+02,-6.331627217043361664e+08
-1.127467958244944981e+02,-6.483108385173698664e+08
-1.076624177045493269e+02,-6.637940481292829514e+08
-1.028073223830864720e+02,-6.796811599150689840e+08
-9.817117022752182720e+01,-6.959162178699431419e+08
-9.374408787663000453e+01,-7.125097783083604574e+08
-8.951664721378301692e+01,-7.295352407574568987e+08
-8.547984528840405005e+01,-7.469354040859793425e+08
-8.162508514287219441e+01,-7.647189445710359812e+08
-7.794415750404951382e+01,-7.829640122367078066e+08
-7.442922330043758450e+01,-8.016130294743180275e+08
-7.107279696773412070e+01,-8.206717066954704523e+08
-6.786773050723287781e+01,-8.402235097369676828e+08
-6.480719826311971588e+01,-8.602109521571086645e+08
-6.188468238624383133e+01,-8.806361479941778183e+08
-5.909395895340964699e+01,-9.015882641259386539e+08
-5.642908471262542491e+01,-9.230099309646919966e+08
-5.388438442608223511e+01,-9.448997612373458147e+08
-5.145443878390924652e+01,-9.673523711431280375e+08
-4.913407286296357057e+01,-9.903109568911379576e+08
-4.691834510607798592e+01,-1.013770505627692580e+09
-4.480253679829489499e+01,-1.037831099639152169e+09
-4.278214201767612934e+01,-1.062436626157825112e+09
-4.085285803928557158e+01,-1.087578452922285557e+09
-3.901057617190993199e+01,-1.113362028284707069e+09
-3.725137300800209772e+01,-1.139732770668917894e+09
-3.557150206821382454e+01,-1.166677278853564978e+09
-3.396738582272209328e+01,-1.194307182920048952e+09
-3.243560807235811438e+01,-1.222569599407051563e+09
-3.097290667331406766e+01,-1.251446137446077108e+09
-2.957616658993250525e+01,-1.281054169165460110e+09
-2.824241326078435677e+01,-1.311344641928270578e+09
-2.696880626390692726e+01,-1.342291503858526945e+09
-2.575263326771198891e+01,-1.374019246262369633e+09
-2.459130425468041281e+01,-1.406483166863708019e+09
-2.348234600554276241e+01,-1.439648762341792583e+09
-2.242339683219844915e+01,-1.473647962840835571e+09
-2.141220154815727028e+01,-1.508441406775872946e+09
-2.044660666579117603e+01,-1.543984651737386465e+09
-1.952455581016861075e+01,-1.580417256853340626e+09
-1.864408533970485138e+01,-1.617707404876270056e+09
-1.780332016430111963e+01,-1.655798514441989422e+09
-1.700046975206718258e+01,-1.694839733880975485e+09
-1.623382431612278154e+01,-1.734805020226323843e+09
-1.550175117335768782e+01,-1.775626571018661261e+09
-1.480269126739507080e+01,-1.817462509539633751e+09
-1.413515584835395700e+01,-1.860295690869641304e+09
-1.349772330233941808e+01,-1.904043233167747021e+09
-1.288903612390891595e+01,-1.948873617515326738e+09
-1.230779802506665810e+01,-1.994781057564665556e+09
-1.175277117462945142e+01,-2.041664069631148577e+09
-1.122277356208507193e+01,-2.089703533993680000e+09
-1.071667648032862274e+01,-2.138905036805793047e+09
-1.023340212191642351e+01,-2.189148263274507523e+09
-9.771921283717997397e+00,-2.240627511418278217e+09
-9.331251175078239868e+00,-2.293358342496880531e+09
-8.910453324821503429e+00,-2.347203361455451965e+09
-8.508631582640582280e+00,-2.402368097004820824e+09
-8.124930210614047965e+00,-2.458881624007946491e+09
-7.758532060787827866e+00,-2.516586411150288582e+09
-7.408656834939567837e+00,-2.575700233342598438e+09
-7.074559422819878485e+00,-2.636267973548270702e+09
-6.755528315331639888e+00,-2.698108475309397697e+09
-6.450884089267685972e+00,-2.761454699474447727e+09
-6.159977960380168760e+00,-2.826366866857327938e+09
-5.882190401699955551e+00,-2.892640198197875500e+09
-5.616929824163803708e+00,-2.960522471604661942e+09
-5.363631316739234656e+00,-3.030089618835293293e+09
-5.121755443364241600e+00,-3.101114411351507664e+09
-4.890787094139589897e+00,-3.173857959977847576e+09
-4.670234388327330066e+00,-3.248413233945755959e+09
-4.459627626819095525e+00,-3.324530553998221874e+09
-4.258518291843414794e+00,-3.402483111176803589e+09
-4.066478091781854154e+00,-3.482384974737123013e+09
-3.883098049059601209e+00,-3.563959483867179394e+09
-3.707987629168172372e+00,-3.647493228956950188e+09
-3.540773908965269889e+00,-3.733126710158421516e+09
-3.381100782480682021e+00,-3.820548350484407902e+09
-3.228628202536726999e+00,-3.910062900701005459e+09
-3.083031456568277040e+00,-4.001839949127504826e+09
-2.944000475100033931e+00,-4.095526245905145645e+09
-2.811239171408461246e+00,-4.191450627434547424e+09
-2.684464810961965320e+00,-4.289811439541299820e+09
-2.563407409296515116e+00,-4.390210499119414330e+09
-2.447809157044440020e+00,-4.493004512306033134e+09
-2.337423870891812694e+00,-4.598419760979005814e+09
-2.232016469295234451e+00,-4.706012998101749420e+09
-2.131362471841437678e+00,-4.816169787120252609e+09
-2.035247521183575881e+00,-4.929142837491700172e+09
-1.943466926536018269e+00,-5.044447111035201073e+09
-1.855825227755518947e+00,-5.162495866913449287e+09
-1.772135779080358464e+00,-5.283565613315932274e+09
-1.692220351641035458e+00,-5.407135404406435966e+09
-1.615908753895919148e+00,-5.533642734514503479e+09
-1.543038469183564576e+00,-5.663387773193738937e+09
-1.473454309619834257e+00,-5.795817658748141289e+09
-1.407008085602683645e+00,-5.931388375686183929e+09
-1.343558290220826290e+00,-6.070431424434795380e+09
-1.282969797894147446e+00,-6.212358958439929962e+09
-1.225113576604117682e+00,-6.357637974987447739e+09
-1.169866413101305680e+00,-6.506648627281511307e+09
-1.117110650504824276e+00,-6.658757881424639702e+09
-1.066733937734857030e+00,-6.814433991645348549e+09
-1.018628990244686561e+00,-6.974129769890254974e+09
-9.726933615426168744e-01,-7.137155091281770706e+09
-9.288292250172499598e-01,-7.303965948416678429e+09
-8.869431656014704624e-01,-7.475114162500429153e+09
-8.469459808314584448e-01,-7.649842975629957199e+09
-8.087524908770449272e-01,-7.828580009885251999e+09
-7.722813571388642551e-01,-8.012002765878747940e+09
-7.374549090259546746e-01,-8.199276881805537224e+09
-7.041989785449288552e-01,-8.390789650661349297e+09
-6.724427423484249378e-01,-8.587371576925526619e+09
-6.421185709064758385e-01,-8.788088062920328140e+09
-6.131618844795775347e-01,-8.993288371810153961e+09
-5.855110155867238042e-01,-9.203984389006025314e+09
-5.591070776755292515e-01,-9.419097943606000900e+09
-5.338938397147350301e-01,-9.638963907585601807e+09
-5.098176064420424369e-01,-9.864804688466058731e+09
-4.868271040122278959e-01,-1.009533262129634094e+10
-4.648733708020256761e-01,-1.033091257520839119e+10
-4.439096531392166534e-01,-1.057300722819717789e+10
-4.238913057338778989e-01,-1.082003646272298050e+10
-4.047756965997322265e-01,-1.107245331956577682e+10
-3.865221162631261587e-01,-1.133199038298703384e+10
-3.690916910662778161e-01,-1.159668552846831131e+10
-3.524473003801584237e-01,-1.186714236894915199e+10
-3.365534975507094573e-01,-1.214539088052311325e+10
-3.213764344100275561e-01,-1.242900376384821510e+10
-3.068837891917642335e-01,-1.271878992409203148e+10
-2.930446976972141404e-01,-1.301710203716070175e+10
-2.798296875655115756e-01,-1.332098355649574280e+10
-2.672106155079432277e-01,-1.363148043845765686e+10
-2.551606073727183954e-01,-1.395129465461655807e+10
-2.436540009125466033e-01,-1.427690760982172775e+10
-2.326662911331457972e-01,-1.460959795190905190e+10
-2.221740781062884751e-01,-1.495243818593595695e+10
-2.121550171362450166e-01,-1.530136751513791275e+10
-2.025877711735017128e-01,-1.565785544636066055e+10
-1.934519653744044276e-01,-1.602532187277486420e+10
-1.847281437099634049e-01,-1.639927998308329964e+10
-1.763977275314043414e-01,-1.678132163365633011e+10
-1.684429760042315261e-01,-1.717508044919209480e+10
-1.608469483265355104e-01,-1.757590862976803207e+10
-1.535934676510896935e-01,-1.798543601702561188e+10
-1.466670866343968427e-01,-1.840722959165738678e+10
-1.400530545393219584e-01,-1.883689803773585892e+10
-1.337372858212496352e-01,-1.927601234582255936e+10
-1.277063301308643539e-01,-1.972770784401720810e+10
-1.219473436696738300e-01,-2.018831677538070297e+10
-1.164480618372685516e-01,-2.065924841113792419e+10
-1.111967731120698938e-01,-2.114291262381698227e+10
-1.061822941099383605e-01,-2.163669746533950043e+10
-1.013939457675291783e-01,-2.214176542262096405e+10
-9.682153059967085751e-02,-2.265972249228562927e+10
-9.245531098233569778e-02,-2.318906595996921921e+10
-8.828598841495149951e-02,-2.373067859753214264e+10
-8.430468371788966964e-02,-2.428551494764532852e+10
-8.050291812295981564e-02,-2.485296658136728287e+10
-7.687259521663727946e-02,-2.543367236862871552e+10
-7.340598369757211916e-02,-2.602819874281189346e+10
-7.009570091165617800e-02,-2.663649973011006927e+10
-6.693469712958660667e-02,-2.725905437023834610e+10
-6.391624053343998579e-02,-2.789627001307107162e+10
-6.103390288028621297e-02,-2.854838000963409424e+10
-5.828154581230846065e-02,-2.921579261752901459e+10
-5.565330778427646230e-02,-2.989888547579759979e+10
-5.314359158053241772e-02,-3.059800884766779709e+10
-5.074705239490465841e-02,-3.131356216841598511e+10
-4.845858644816495447e-02,-3.204594279651031876e+10
-4.627332011878688284e-02,-3.279555465068236160e+10
-4.418659956385941057e-02,-3.356281940085146332e+10
-4.219398080805024376e-02,-3.434816808944392776e+10
-4.029122027951347745e-02,-3.515204411614497375e+10
-3.847426577258501734e-02,-3.597490458810331726e+10
-3.673924781802074407e-02,-3.681722000716415405e+10
-3.508247144239792087e-02,-3.767947534106830597e+10
-3.350040829913132623e-02,-3.856217079153457642e+10
-3.198968915434537846e-02,-3.946582259069537354e+10
-3.054709671159968123e-02,-4.039096397072190094e+10
-2.916955876018795940e-02,-4.133814619668528748e+10
-2.785414163241766231e-02,-4.230793971682814026e+10
-2.659804395593758433e-02,-4.330093544258255005e+10
-2.539859068780724038e-02,-4.431774617364461517e+10
-2.425322741760353035e-02,-4.535900819072615814e+10
-2.315951492743151957e-02,-4.642538304239073181e+10
-2.211512399725488673e-02,-4.751755955688558197e+10
-2.111783044448244454e-02,-4.863625611343817139e+10
-2.016551038724746434e-02,-4.978222322082769012e+10
-1.925613572129198509e-02,-5.095624645566577148e+10
-1.838776980082326706e-02,-5.215914982950296783e+10
-1.755856331414468868e-02,-5.339179967069316864e+10
-1.676675034527699143e-02,-5.465510912250336456e+10
-1.601064461318317880e-02,-5.595004339893405151e+10
-1.528863588058729586e-02,-5.727762596705540466e+10
-1.459918652473978645e-02,-5.863894587751342010e+10
-1.394082826282577216e-02,-6.003516654124309540e+10
-1.331215902504307748e-02,-6.146753632475126648e+10
-1.271183996869028852e-02,-6.293740147496079254e+10
-1.213859262690627702e-02,-6.444622200471827698e+10
-1.159119618598885779e-02,-6.599559137756208801e+10
-1.106848488549411896e-02,-6.758726094668592072e+10
-1.056934553557988335e-02,-6.922317026970085144e+10
-1.009271514630570750e-02,-7.090548438574249268e+10
-9.637578663841088814e-03,-7.263663889803007507e+10
-9.202966808760409262e-03,-7.441939309890213013e+10
-8.787954011821318828e-03,-7.625689025724281311e+10
-8.391656442830162238e-03,-7.815272243231427002e+10
-8.013230128396886531e-03,-8.011099486176043701e+10
-7.651869154570817462e-03,-8.213638206923191833e+10
-7.306803950529499464e-03,-8.423416479212625122e+10
-6.977299649665537687e-03,-8.641023397026698303e+10
-6.662654524581149845e-03,-8.867104607066749573e+10
-6.362198492657488921e-03,-9.102351372576808167e+10
-6.075291689016077724e-03,-9.347481737008032227e+10
-5.801323103833378250e-03,-9.603212813535742188e+10
-5.539709281106400610e-03,-9.870223943245022583e+10
-5.289893076098150723e-03,-1.014911141393483124e+11
-5.051342468816766122e-03,-1.044033652994317169e+11
-4.823549431001467047e-03,-1.074416992877266998e+11
-4.606028844202397950e-03,-1.106063598885282898e+11
-4.398317466650224217e-03,-1.138946182249331970e+11
-4.199972946715306577e-03,-1.173003554845473175e+11
-4.010572880855495757e-03,-1.208137821006830444e+11
-3.829713914046281153e-03,-1.244213286956669922e+11
-3.657010880777493075e-03,-1.281057311003793793e+11
-3.492095984787271443e-03,-1.318463158338096008e+11
-3.334618015786362799e-03,-1.356194754354101105e+11
-3.184241601504652925e-03,-1.393993069702566833e+11
-3.040646493467068570e-03,-1.431583739713122253e+11
-2.903526884977813711e-03,-1.468685431789848022e+11
-2.772590759860481084e-03,-1.505018437527440491e+11
-2.647559270567066431e-03,-1.540312978592534180e+11
-2.528166144331500404e-03,-1.574316773644367371e+11
-2.414157116103017933e-03,-1.606801504013782043e+11
-2.305289387051708255e-03,-1.637567927593665771e+11
-2.201331107493032218e-03,-1.666449507380581055e+11
-2.102060883130158191e-03,-1.693314532680681458e+11
-2.007267303562568390e-03,-1.718066807139696960e+11
-1.916748492056815018e-03,-1.740645052173989868e+11
-1.830311675620613105e-03,-1.761021225836417542e+11
-1.747772774464680838e-03,-1.779197984960543518e+11
-1.668956009978023050e-03,-1.795205525159525757e+11
-1.593693530381774500e-03,-1.809098023715504761e+11
-1.521825053264387129e-03,-1.820949888740457458e+11
-1.453197524236895469e-03,-1.830851988308339539e+11
-1.387664790981308488e-03,-1.838907999806671143e+11
-1.325087291997953777e-03,-1.845230985945364990e+11
-1.265331759388942968e-03,-1.849940271965886841e+11
-1.208270935044775986e-03,-1.853158670124087524e+11
-1.153783299629660732e-03,-1.855010073407449036e+11
-1.101752813788387268e-03,-1.855617421054833374e+11
-1.052068671023622922e-03,-1.855101023661414490e+11
-1.004625061717340315e-03,-1.853577225063974915e+11
-9.593209477938240528e-04,-1.851157371253959351e+11
-9.160598475443709407e-04,-1.847947052641044922e+11
-8.747496301554415774e-04,-1.844045584466791992e+11
-8.353023195026779016e-04,-1.839545690462364807e+11
-7.976339067929281382e-04,-1.834533356438703308e+11
-7.616641716552891624e-04,-1.829087822956977234e+11
-7.273165113001454386e-04,-1.823281689200620728e+11
-6.945177773823695954e-04,-1.817181103385111389e+11
-6.631981202212675541e-04,-1.810846018295442505e+11
-6.332908400455114538e-04,-1.804330493688935547e+11
-6.047322449462648464e-04,-1.797683030246812134e+11
-5.774615152359819509e-04,-1.790946922443345337e+11
-5.514205739240302107e-04,-1.784160620097413330e+11
-5.265539630332755463e-04,-1.777358090470107117e+11
-5.028087254942479982e-04,-1.770569174580944214e+11
-4.801342923653454829e-04,-1.763819932951120911e+11
-4.584823751389095932e-04,-1.757132977268252869e+11
-4.378068629038166541e-04,-1.750527785528794250e+11
-4.180637241455757908e-04,-1.744020999079085693e+11
-3.992109129748053426e-04,-1.737626700669513245e+11
-3.812082795843888027e-04,-1.731356673184054260e+11
-3.640174847446141400e-04,-1.725220639131496582e+11
-3.476019181541977528e-04,-1.719226481306191711e+11
-3.319266204733189573e-04,-1.713380445262529297e+11
-3.169582088726115320e-04,-1.707687324414747925e+11
-3.026648059395692196e-04,-1.702150628685415649e+11
-2.890159717909508751e-04,-1.696772737693006287e+11
-2.759826392466180702e-04,-1.691555039501780396e+11
-2.635370519267393242e-04,-1.686498055962817078e+11
-2.516527051405391619e-04,-1.681601555660603333e+11
-2.403042894406969639e-04,-1.676864655450111389e+11
-2.294676367231936100e-04,-1.672285911529272461e+11
-2.191196687578149545e-04,-1.667863400944423218e+11
-2.092383480396976933e-04,-1.663594794374551697e+11
-1.998026308572550618e-04,-1.659477420986012573e+11
-1.907924224765265126e-04,-1.655508326094469910e+11
-1.821885343465166982e-04,-1.651684322316324463e+11
-1.739726432343800604e-04,-1.648002034838818970e+11
-1.661272522034293005e-04,-1.644457941386992493e+11
-1.586356533508589712e-04,-1.641048407416854553e+11
-1.514818922258345780e-04,-1.637769717018420410e+11
-1.446507338521647108e-04,-1.634618099969068909e+11
-1.381276302832009435e-04,-1.631589755337706909e+11
-1.318986896198670470e-04,-1.628680872002933960e+11
-1.259506464258357641e-04,-1.625887646414248962e+11
-1.202708334768512016e-04,-1.623206297893599243e+11
-1.148471547840289032e-04,-1.620633081745855408e+11
-1.096680598336868546e-04,-1.618164300420186768e+11
-1.047225189888434420e-04,-1.615796312940368042e+11
-1.000000000000000048e-04,-1.613525542799949036e+11
1.000000000000000048e-04,-1.509327578680410767e+11
1.047225189888434420e-04,-1.506691555721429749e+11
1.096680598336868546e-04,-1.503923097374274597e+11
1.148471547840289032e-04,-1.501015241414600830e+11
1.202708334768512016e-04,-1.497960637692644653e+11
1.259506464258357641e-04,-1.494751525539014282e+11
1.318986896198670470e-04,-1.491379709915270691e+11
1.381276302832009435e-04,-1.487836536267210388e+11
1.446507338521647108e-04,-1.484112864043780518e+11
1.514818922258345780e-04,-1.480199038851658325e+11
1.586356533508589712e-04,-1.476084863224569092e+11
1.661272522034293005e-04,-1.471759565998182068e+11
1.739726432343800604e-04,-1.467211770296150208e+11
1.821885343465166982e-04,-1.462429460151271973e+11
1.907924224765265126e-04,-1.457399945808490601e+11
1.998026308572550618e-04,-1.452109827784116211e+11
2.092383480396976933e-04,-1.446544959789452820e+11
2.191196687578149545e-04,-1.440690410667561035e+11
2.294676367231936100e-04,-1.434530425540635376e+11
2.403042894406969639e-04,-1.428048386423553162e+11
2.516527051405391619e-04,-1.421226772628106689e+11
2.635370519267393242e-04,-1.414047121363844299e+11
2.759826392466180702e-04,-1.406489989037193298e+11
2.890159717909508751e-04,-1.398534913862615356e+11
3.026648059395692196e-04,-1.390160380530236816e+11
3.169582088726115320e-04,-1.381343787825850525e+11
3.319266204733189573e-04,-1.372061420274315491e+11
3.476019181541977528e-04,-1.362288425078418427e+11
3.640174847446141400e-04,-1.351998795855185242e+11
3.812082795843888027e-04,-1.341165364932872162e+11
3.992109129748053426e-04,-1.329759806266899261e+11
4.180637241455757908e-04,-1.317752651363910370e+11
4.378068629038166541e-04,-1.305113320971076965e+11
4.584823751389095932e-04,-1.291810175693501892e+11
